Date,Allan,Wiggles,Manny,George,Curry
2020-09-22,67,70,,,
2020-09-24,70,77,,,
2020-09-26,81,87,,,
2020-09-27,86,90,,,
2020-09-29,93,97,,,
2020-10-02,105,108,,,
2020-10-07,132,130,,,
2020-10-08,136,129,,,
2020-10-11,152,142,,,
2020-10-13,155,146,,,
2020-10-15,177,174,,,
2020-10-17,180,176,,,
2020-10-20,191,194,,,
2020-10-21,190,197,,,
2020-10-24,191,201,,,
2020-10-26,201,210,,,
2020-10-27,205,214,,,
2020-10-30,211,222,,,
2020-11-02,218,231,,,
2020-11-07,233,250,,,
2020-11-10,245,271,,,
2020-11-14,255,284,,,
2020-11-17,272,298,,,
2020-11-22,284,303,,,
2020-11-26,292,320,,,
2020-12-4,305,339,,,
2020-12-10,316,366,,,
2020-12-21,321,364,,,
2020-12-28,328,372,,,
2021-01-13,343,412,,,
2021-01-17,343,410,,,
2021-01-22,355,424,,,
2021-01-26,357,423,,,
2021-01-31,365,435,,,
2021-02-05,373,446,,,
2021-02-10,378,448,,,
2021-02-19,384,465,,,
2021-02-26,387,469,,,
2021-03-08,406,487,,,
2021-03-19,411,490,,,
2021-03-24,416,497,,,
2021-03-25,409,494,,,
2021-04-03,420,490,,,
2021-04-07,428,498,,,
2021-04-24,432,513,,,
2021-05-05,433,508,,,
2021-05-25,446,526,,,
2021-06-07,435,515,,,
2021-06-21,442,515,,,
2021-07-06,452,525,,,
2021-07-19,455,531,,,
2021-09-30,418,520,,,
2021-10-13,478,538,,,
2021-10-29,490,545,,,
2021-11-14,484,548,,,
2021-11-28,467,550,,,
2021-12-13,468,548,,,
2021-12-20,482,553,,,
2022-01-10,484,561,,,
2022-01-26,459,548,,,
2022-01-31,430,560,,,
2022-02-07,426,580,,,
2022-02-23,455,582,,,
2022-03-09,473,584,,,
2022-03-23,500,583,,,
2022-04-18,520,582,,,
2022-05-04,531,581,,,
2022-05-19,533,592,,,
2022-06-02,527,584,,,
2022-06-14,526,584,,,
2022-07-05,539,591,,,
2022-07-18,544,607,,,
2022-08-08,529,614,,,
2022-08-15,527,607,,,
2022-08-30,536,609,,,
2022-09-13,527,599,,,
2022-10-03,532,575,,,
2022-10-17,516,569,,,
2022-10-24,528,572,,,
2022-11-06,540,562,,,
2022-11-21,535,564,,,
2022-12-03,516,532,,,
2022-12-18,515,521,,,
2022-12-27,493,499,584,,
2023-01-03,481,,,,
2023-01-11,465,,,180,198
2023-01-14,459,,583,194,216
2023-01-18,455,,,205,236
2023-01-22,440,,,203,248
2023-01-24,,,530,,
2023-01-27,447,,,219,271
2023-01-30,433,,,221,273
2023-02-04,418,,,233,292
2023-02-07,414,,,241,309
2023-02-14,403,,560,249,315
2023-02-19,390,,,254,324
2023-02-23,405,,,261,338
2023-02-27,408,,564,267,345
2023-03-03,411,,564,271,360
2023-03-08,411,,570,285,378
2023-03-12,428,,574,291,381
2023-03-16,428,,571,299,384
2023-03-20,437,,573,304,397
2023-03-27,443,,584,307,408
2023-04-03,434,,569,304,413
2023-04-09,432,,580,321,431
2023-04-18,429,,554,323,439
2023-04-23,415,,548,319,436
2023-05-01,427,,552,329,437
2023-05-15,399,,556,342,442
2023-05-26,397,,564,353,465
2023-06-05,377,,555,341,455
2023-06-11,403,,583,358,488
2023-06-26,416,,602,365,516
2023-07-13,403,,606,373,514
2023-07-23,391,,609,376,527
2023-08-15,382,,594,389,533
2023-08-21,364,,604,382,533
2023-08-26,356,,599,398,536
2023-08-30,353,,591,393,529
2023-09-08,351,,591,394,533
2023-09-17,349,,595,399,543
2023-09-25,342,,604,397,534
2023-10-10,,,597,395,525
2023-10-23,,,600,397,527
2023-10-31,,,575,392,497
2023-11-09,,,568,403,506
2023-11-26,,,584,413,524
2023-12-05,,,596,410,516
2023-12-12,,,589,413,522
2023-12-18,,,592,402,517
2023-12-23,,,599,405,523
2023-12-27,,,587,391,508
2023-12-30,,,590,410,525
2024-01-05,,,581,401,509
2024-01-16,,,594,415,525
2024-01-23,,,591,420,521
2024-01-29,,,599,417,527
2024-02-04,,,606,408,526
2024-02-19,,,581,403,503
2024-03-06,,,589,405,521
2024-03-17,,,597,410,536
2024-04-07,,,611,382,545
2024-04-14,,,621,390,541
2024-04-21,,,617,390,540
2024-04-29,,,625,399,546
2024-05-07,,,614,398,546
2024-05-14,,,626,402,550
2024-05-25,,,625,408,546
2024-06-02,,,622,400,545
2024-06-09,,,618,399,544
2024-06-14,,,614,392,542
2024-06-23,,,605,383,545
2024-06-27,,,609,389,549
2024-07-05,,,588,384,540
2024-07-14,,,586,384,535
2024-07-21,,,587,383,538
2024-07-30,,,578,376,538
2024-08-05,,,572,372,539
2024-08-11,,,569,377,545
2024-08-16,,,556,372,537
2024-08-27,,,539,377,535
2024-09-05,,,,375,530
2024-09-09,,,503,378,535
2024-09-22,,,474,378,517
2024-09-30,,,454,377,517
2024-10-07,,,430,375,521
2024-10-18,,,423,377,513
2024-11-01,,,419,370,524
2024-11-12,,,407,367,510
2024-11-17,,,394,387,513
2024-11-26,,,420,410,530
2024-12-08,,,380,383,512
2024-12-15,,,384,387,515
2024-12-21,,,381,378,512
2024-12-30,,,395,372,513
2025-01-07,,,382,373,515
2025-01-26,,,365,381,515
2025-02-02,,,375,385,515
2025-02-09,,,407,378,508
2025-02-16,,,372,380,508
2025-02-24,,,378,381,515
2025-03-02,,,380,381,520
2025-03-18,,,,371,500
2025-04-22,,,,358,484
2025-05-20,,,,273,472
2025-06-03,,,,324,457
2025-06-16,,,,325,416
2025-06-28,,,,329,421
2025-07-06,,,,322,415
2025-07-23,,,,306,429
2025-08-12,,,,263,400
2025-09-04,,,,250,373
2025-09-12,,,,220,365
2025-09-17,,,,,372
2025-09-24,,,,,350
2025-09-29,,,,,355
2025-10-10,,,,,330
2025-10-27,,,,,305
